download_url,document_url,title,date_uploaded,description,tag,category,language,privacy,total_views,slideshare_views,embed_views,total_likes,total_comments,total_downloads
https://www.slideshare.net/dwnld_file?s_title=crm2011-walkthrough-part1,https://www.slideshare.net/slideshow/crm2011-walkthrough-part1/5425882,Microsoft Dynamics CRM 2011 Walkthrough Part 1,2010-10-12 13:16:21 UTC,Introduction to new features announced in Microsoft Dynamics CRM 2011 Beta. Part 1 focuses on end-user tools and UI enhancements.,"",presentation,en,public,15425,11180,4245,12,12,2428
https://www.slideshare.net/dwnld_file?s_title=microsoft-dynamics-crm-2011-walkthrough-part-2,https://www.slideshare.net/slideshow/microsoft-dynamics-crm-2011-walkthrough-part-2/5695391,Microsoft Dynamics CRM 2011 Walkthrough Part 2,2010-11-07 12:37:36 UTC,Introduction to new features announced in Microsoft Dynamics CRM 2011 Beta. Part 2 focuses on solution and system management.,"crm,crm2011,dynamics,microsoft",presentation,en,public,12445,10350,2095,20,15,2543
https://www.slideshare.net/dwnld_file?s_title=sfdc-df11,https://www.slideshare.net/slideshow/sfdc-df11/9091646,#SFDC #DF11,2011-09-01 00:55:21 UTC,Screenshots from Salesforce.com Dreamforce 11 keynote presentation,"crm, Salesforce.com, SCRM, Social CRM, Social Networking, Collaboration, Cloud computing, ",presentation,en,public,6121,5095,1026,0,4,18
https://www.slideshare.net/dwnld_file?s_title=website-image-editing-tutorial-wordpress-paintnet-and-powerpoint,https://www.slideshare.net/slideshow/website-image-editing-tutorial-wordpress-paintnet-and-powerpoint/10485611,"Website image editing tutorial: WordPress, Paint.NET and PowerPoint(!)",2011-12-06 11:10:53 UTC,"Don't know anything about editing images, but still need to produce web articles, blog posts and other online content with photos? Here's a tutorial for the absolute beginner on how to perform basic image editing with Paint.NET and upload images to WordPress. Also some tips on how you combine text and image content with PowerPoint, then export the results onto your website. Who needs Photoshop anyway?","image editing,web design,website,wordpress",presentation,en,public,4228,4101,127,1,10,64
https://www.slideshare.net/dwnld_file?s_title=a-story-of-blog-content-theft,https://www.slideshare.net/slideshow/a-story-of-blog-content-theft/14397181,A Story of Blog Content Theft,2012-09-22 12:20:14 UTC,How to fight the copy-paste bloggers in the Microsoft Dynamics CRM community.,"microsoft, dynamics, crm, dynamics crm, blog, blogging, copyright, theft",presentation,en,public,5907,5306,601,3,3,7
https://www.slideshare.net/dwnld_file?s_title=microsoft-dynamics-crm-2013-development-server-installation,https://www.slideshare.net/slideshow/microsoft-dynamics-crm-2013-development-server-installation/26983930,Microsoft Dynamics CRM 2013 development server installation,2013-10-08 11:12:41 UTC,How to setup a single server development environment for Microsoft Dynamics CRM 2013 on a Windows Azure virtual machine that can leverage the MSDN subscriber benefits for Azure Credits.,"Microsoft Dynamics CRM, crm",presentation,en,public,55741,29981,25760,17,42,960
https://www.slideshare.net/dwnld_file?s_title=control-outlook-synchronization-settings-for-dynamics-crm-users,https://www.slideshare.net/slideshow/control-outlook-synchronization-settings-for-dynamics-crm-users/33126114,Control Outlook Synchronization Settings for Dynamics CRM users,2014-04-04 06:56:22 UTC,Use the XrmToolBox Sync Filter Manager to configure Outlook synchronization filters for Microsoft Dynamics CRM users. This tutorial shows 3 common scenarios for how to modify the contact synchronization settings.,"",presentation,en,public,19058,12903,6155,5,10,103
https://www.slideshare.net/dwnld_file?s_title=microsoft-dynamics-crm-2013-customization-and-the-platform-evolution,https://www.slideshare.net/slideshow/microsoft-dynamics-crm-2013-customization-and-the-platform-evolution/35223322,Microsoft Dynamics CRM 2013 Customization and The Platform Evolution,2014-05-28 11:42:26 UTC,"Update: full transcript now available on my blog: http://niiranen.eu/crm/dynamics-crm-platform-evolution-part-1-history/

MSDynamicsWorld.com webcast on how the Dynamics CRM platform has evolved over the years and what it means to the system customizer, especially with the latest Microsoft Dynamics CRM 2013 product version that presents a major paradigm shift in terms of the user interface. Includes recommendations on how to deliver a better user experience for your CRM system users and what you need to change in your solution design approach compared to some of the earlier versions.

See a recording of this live webcast at https://www.youtube.com/watch?v=WjT6Ku3E1Vw or just check the last slide of the presentation.","",presentation,en,public,8907,5963,2944,4,11,160
https://www.slideshare.net/dwnld_file?s_title=10-tips-for-designing-a-great-user-experience-in-microsoft-dynamics-crm,https://www.slideshare.net/slideshow/10-tips-for-designing-a-great-user-experience-in-microsoft-dynamics-crm/39614289,10 Tips for Designing a Great User Experience in Microsoft Dynamics CRM,2014-09-28 06:04:27 UTC,"Practical tips for customizing Microsoft Dynamics CRM with the end user experience in mind. Learn how to make the most of CRM 2013 features to improve the solution usability, deliver relevant information to the user and avoid common pitfalls in the Dynamics CRM application configuration.","",presentation,en,public,30825,19273,11552,39,22,410
https://www.slideshare.net/dwnld_file?s_title=crm-rocks-whoisthecustomer,https://www.slideshare.net/slideshow/crm-rocks-whoisthecustomer/42533908,Who is the customer in your CRM? #CRMRocks podcast,2014-12-09 13:43:06 UTC,"My notes from an episode of the CRM Rocks podcast, recorded on Nov 24th 2014. Discussing the key questions to ask when designing a CRM solution.","",presentation,en,public,5215,2188,3027,3,10,30
